District,Sector,Latitude,Longitude,Soil_Texture
Nyaruguru,Ruheru,-2.7234,29.6678,Clay loam
Nyaruguru,Ruramba,-2.7456,29.6789,Sandy clay
Nyaruguru,Rusenge,-2.7567,29.6567,Loam
Nyaruguru,Kivu,-2.7678,29.6678,Clay
Nyamagabe,Buruhukiro,-2.4234,29.5567,Sandy loam
Nyamagabe,Cyanika,-2.4456,29.5678,Clay
Nyamagabe,Gatare,-2.4567,29.5789,Sandy clay
Nyamagabe,Kaduha,-2.4678,29.5567,Clay loam
Nyamagabe,Kamegeri,-2.4789,29.5678,Loam
Nyamagabe,Kibirizi,-2.4234,29.5789,Sandy clay
Nyamagabe,Kibumbwe,-2.4456,29.5567,Clay
Nyamagabe,Kitabi,-2.4567,29.5678,Sandy loam
Nyamagabe,Mbazi,-2.4678,29.5789,Clay loam
Nyamagabe,Mugano,-2.4789,29.5567,Loam
Nyamagabe,Musange,-2.4234,29.5678,Sandy clay
Nyamagabe,Mushubi,-2.4456,29.5789,Clay
Nyamagabe,Nkomane,-2.4567,29.5567,Sandy loam
Nyamagabe,Tare,-2.4678,29.5678,Clay loam
Nyamagabe,Gasaka,-2.4789,29.5789,Loam
Nyamagabe,Uwinkingi,-2.4234,29.5567,Sandy clay
Nyamagabe,Rugano,-2.4456,29.5678,Clay
Ruhango,Bweramana,-2.2234,29.7567,Clay loam
Ruhango,Byimana,-2.2456,29.7678,Sandy clay
Ruhango,Kabagari,-2.2567,29.7789,Loam
Ruhango,Kinazi,-2.2678,29.7567,Clay
Ruhango,Kinihira,-2.2789,29.7678,Sandy loam
Ruhango,Mbuye,-2.2234,29.7789,Clay loam
Ruhango,Mwendo,-2.2456,29.7567,Sandy clay
Ruhango,Ntongwe,-2.2567,29.7678,Loam
Ruhango,Ruhango,-2.2678,29.7789,Clay
Ruhango,Byimana,-2.2789,29.7567,Sandy loam
Muhanga,Cyeza,-2.1234,29.7567,Clay
Muhanga,Kabacuzi,-2.1456,29.7678,Sandy loam
Muhanga,Kibangu,-2.1567,29.7789,Clay loam
Muhanga,Kiyumba,-2.1678,29.7567,Sandy clay
Muhanga,Muhanga,-2.1789,29.7678,Loam
Muhanga,Mushishiro,-2.1234,29.7789,Clay
Muhanga,Nyabinoni,-2.1456,29.7567,Sandy loam
Muhanga,Nyamabuye,-2.1567,29.7678,Clay loam
Muhanga,Nyarusange,-2.1678,29.7789,Sandy clay
Muhanga,Rongi,-2.1789,29.7567,Loam
Muhanga,Rugendabari,-2.1234,29.7678,Clay
Muhanga,Shyogwe,-2.1456,29.7789,Sandy loam
Kamonyi,Gacurabwenge,-2.0234,29.7567,Clay loam
Kamonyi,Karama,-2.0456,29.7678,Sandy clay
Kamonyi,Kayenzi,-2.0567,29.7789,Loam
Kamonyi,Kayumbu,-2.0678,29.7567,Clay
Kamonyi,Mugina,-2.0789,29.7678,Sandy loam
Kamonyi,Musambira,-2.0234,29.7789,Clay loam
Kamonyi,Ngamba,-2.0456,29.7567,Sandy clay
Kamonyi,Nyamiyaga,-2.0567,29.7678,Loam
Kamonyi,Nyarubaka,-2.0678,29.7789,Clay
Kamonyi,Rukoma,-2.0789,29.7567,Sandy loam
Kamonyi,Runda,-2.0234,29.7678,Clay loam
Kamonyi,Rugarika,-2.0456,29.7789,Sandy clay
