crop,season,altitude,soil_type,water_requirement_mm_day,irrigation_strategy,total_water_requirement_m3
Cassava,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Cassava,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Cassava,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Cassava,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Sweet Potatoes,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Sweet Potatoes,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Sweet Potatoes,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Sweet Potatoes,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Sweet Potatoes,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Sweet Potatoes,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Sweet Potatoes,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Sweet Potatoes,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Sweet Potatoes,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Sweet Potatoes,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Sweet Potatoes,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Sweet Potatoes,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Sweet Potatoes,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Sweet Potatoes,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Sweet Potatoes,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Sweet Potatoes,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Sweet Potatoes,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Sweet Potatoes,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Sweet Potatoes,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Sweet Potatoes,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Sweet Potatoes,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Sweet Potatoes,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Sweet Potatoes,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Sweet Potatoes,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Sweet Potatoes,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Sweet Potatoes,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Sweet Potatoes,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Sweet Potatoes,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Sweet Potatoes,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Sweet Potatoes,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Irish Potatoes,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Irish Potatoes,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Irish Potatoes,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Irish Potatoes,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Irish Potatoes,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Irish Potatoes,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Irish Potatoes,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Irish Potatoes,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Irish Potatoes,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Irish Potatoes,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Irish Potatoes,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Irish Potatoes,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Irish Potatoes,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Irish Potatoes,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Irish Potatoes,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Irish Potatoes,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Irish Potatoes,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Irish Potatoes,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Irish Potatoes,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Irish Potatoes,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Irish Potatoes,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Irish Potatoes,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Irish Potatoes,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Irish Potatoes,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Irish Potatoes,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Irish Potatoes,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Irish Potatoes,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Irish Potatoes,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Irish Potatoes,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Irish Potatoes,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Yams,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Yams,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Yams,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Yams,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Yams,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Yams,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Yams,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Yams,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Yams,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Yams,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Yams,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Yams,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Yams,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Yams,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Yams,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Yams,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Yams,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Yams,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Yams,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Yams,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Yams,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Yams,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Yams,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Yams,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Yams,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Yams,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Yams,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Yams,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Yams,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Yams,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Taro,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Taro,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Taro,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Taro,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Taro,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Taro,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Taro,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Taro,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Taro,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Taro,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Taro,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Taro,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Taro,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Taro,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Taro,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Taro,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Taro,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Taro,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Taro,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Taro,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Taro,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Taro,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Taro,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Taro,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Taro,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Taro,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Taro,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Taro,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Taro,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Taro,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Beans,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Beans,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Beans,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Beans,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Beans,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Beans,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Beans,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Beans,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Beans,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Beans,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Beans,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Beans,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Beans,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Beans,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Beans,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Beans,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Beans,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Beans,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Beans,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Beans,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Beans,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Beans,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Beans,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Beans,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Beans,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Beans,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Beans,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Beans,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Beans,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Beans,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Soybeans,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Soybeans,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Soybeans,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Soybeans,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Soybeans,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Soybeans,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Soybeans,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Soybeans,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Soybeans,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Soybeans,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Soybeans,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Soybeans,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Soybeans,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Soybeans,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Soybeans,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Soybeans,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Soybeans,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Soybeans,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Soybeans,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Soybeans,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Soybeans,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Soybeans,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Soybeans,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Soybeans,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Soybeans,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Soybeans,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Soybeans,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Soybeans,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Soybeans,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Soybeans,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Groundnuts,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Groundnuts,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
